year,city,country,avg_temp
1843,Mecca,Saudi Arabia,25.16
1844,Mecca,Saudi Arabia,19.05
1845,Mecca,Saudi Arabia,22.46
1846,Mecca,Saudi Arabia,
1847,Mecca,Saudi Arabia,
1848,Mecca,Saudi Arabia,
1849,Mecca,Saudi Arabia,
1850,Mecca,Saudi Arabia,
1851,Mecca,Saudi Arabia,
1852,Mecca,Saudi Arabia,
1853,Mecca,Saudi Arabia,
1854,Mecca,Saudi Arabia,
1855,Mecca,Saudi Arabia,
1856,Mecca,Saudi Arabia,
1857,Mecca,Saudi Arabia,
1858,Mecca,Saudi Arabia,
1859,Mecca,Saudi Arabia,
1860,Mecca,Saudi Arabia,
1861,Mecca,Saudi Arabia,23.98
1862,Mecca,Saudi Arabia,24.13
1863,Mecca,Saudi Arabia,22.87
1864,Mecca,Saudi Arabia,25.43
1865,Mecca,Saudi Arabia,25.60
1866,Mecca,Saudi Arabia,25.42
1867,Mecca,Saudi Arabia,25.62
1868,Mecca,Saudi Arabia,25.30
1869,Mecca,Saudi Arabia,25.65
1870,Mecca,Saudi Arabia,25.35
1871,Mecca,Saudi Arabia,24.97
1872,Mecca,Saudi Arabia,25.20
1873,Mecca,Saudi Arabia,25.57
1874,Mecca,Saudi Arabia,25.32
1875,Mecca,Saudi Arabia,24.53
1876,Mecca,Saudi Arabia,25.13
1877,Mecca,Saudi Arabia,25.81
1878,Mecca,Saudi Arabia,25.94
1879,Mecca,Saudi Arabia,25.57
1880,Mecca,Saudi Arabia,25.42
1881,Mecca,Saudi Arabia,26.06
1882,Mecca,Saudi Arabia,25.09
1883,Mecca,Saudi Arabia,25.36
1884,Mecca,Saudi Arabia,25.03
1885,Mecca,Saudi Arabia,25.33
1886,Mecca,Saudi Arabia,25.13
1887,Mecca,Saudi Arabia,25.08
1888,Mecca,Saudi Arabia,25.21
1889,Mecca,Saudi Arabia,25.88
1890,Mecca,Saudi Arabia,25.79
1891,Mecca,Saudi Arabia,25.88
1892,Mecca,Saudi Arabia,25.39
1893,Mecca,Saudi Arabia,25.42
1894,Mecca,Saudi Arabia,25.00
1895,Mecca,Saudi Arabia,24.96
1896,Mecca,Saudi Arabia,25.24
1897,Mecca,Saudi Arabia,25.27
1898,Mecca,Saudi Arabia,25.59
1899,Mecca,Saudi Arabia,25.57
1900,Mecca,Saudi Arabia,25.50
1901,Mecca,Saudi Arabia,25.79
1902,Mecca,Saudi Arabia,25.42
1903,Mecca,Saudi Arabia,25.03
1904,Mecca,Saudi Arabia,25.40
1905,Mecca,Saudi Arabia,25.12
1906,Mecca,Saudi Arabia,25.26
1907,Mecca,Saudi Arabia,24.98
1908,Mecca,Saudi Arabia,25.23
1909,Mecca,Saudi Arabia,25.95
1910,Mecca,Saudi Arabia,25.18
1911,Mecca,Saudi Arabia,24.85
1912,Mecca,Saudi Arabia,25.05
1913,Mecca,Saudi Arabia,24.75
1914,Mecca,Saudi Arabia,25.38
1915,Mecca,Saudi Arabia,25.88
1916,Mecca,Saudi Arabia,25.36
1917,Mecca,Saudi Arabia,25.27
1918,Mecca,Saudi Arabia,25.25
1919,Mecca,Saudi Arabia,26.01
1920,Mecca,Saudi Arabia,25.17
1921,Mecca,Saudi Arabia,25.17
1922,Mecca,Saudi Arabia,25.66
1923,Mecca,Saudi Arabia,25.51
1924,Mecca,Saudi Arabia,25.96
1925,Mecca,Saudi Arabia,25.51
1926,Mecca,Saudi Arabia,25.53
1927,Mecca,Saudi Arabia,25.82
1928,Mecca,Saudi Arabia,26.05
1929,Mecca,Saudi Arabia,25.92
1930,Mecca,Saudi Arabia,25.76
1931,Mecca,Saudi Arabia,25.90
1932,Mecca,Saudi Arabia,25.45
1933,Mecca,Saudi Arabia,25.21
1934,Mecca,Saudi Arabia,25.53
1935,Mecca,Saudi Arabia,25.90
1936,Mecca,Saudi Arabia,25.75
1937,Mecca,Saudi Arabia,25.61
1938,Mecca,Saudi Arabia,25.31
1939,Mecca,Saudi Arabia,25.72
1940,Mecca,Saudi Arabia,25.92
1941,Mecca,Saudi Arabia,26.00
1942,Mecca,Saudi Arabia,26.07
1943,Mecca,Saudi Arabia,25.21
1944,Mecca,Saudi Arabia,25.85
1945,Mecca,Saudi Arabia,25.69
1946,Mecca,Saudi Arabia,25.65
1947,Mecca,Saudi Arabia,26.13
1948,Mecca,Saudi Arabia,25.11
1949,Mecca,Saudi Arabia,25.11
1950,Mecca,Saudi Arabia,25.89
1951,Mecca,Saudi Arabia,25.96
1952,Mecca,Saudi Arabia,26.31
1953,Mecca,Saudi Arabia,26.15
1954,Mecca,Saudi Arabia,26.16
1955,Mecca,Saudi Arabia,25.65
1956,Mecca,Saudi Arabia,25.66
1957,Mecca,Saudi Arabia,25.51
1958,Mecca,Saudi Arabia,26.29
1959,Mecca,Saudi Arabia,25.26
1960,Mecca,Saudi Arabia,26.33
1961,Mecca,Saudi Arabia,25.87
1962,Mecca,Saudi Arabia,26.11
1963,Mecca,Saudi Arabia,26.10
1964,Mecca,Saudi Arabia,25.44
1965,Mecca,Saudi Arabia,25.76
1966,Mecca,Saudi Arabia,26.19
1967,Mecca,Saudi Arabia,25.33
1968,Mecca,Saudi Arabia,25.26
1969,Mecca,Saudi Arabia,26.09
1970,Mecca,Saudi Arabia,25.92
1971,Mecca,Saudi Arabia,24.96
1972,Mecca,Saudi Arabia,25.53
1973,Mecca,Saudi Arabia,25.98
1974,Mecca,Saudi Arabia,25.47
1975,Mecca,Saudi Arabia,25.34
1976,Mecca,Saudi Arabia,25.56
1977,Mecca,Saudi Arabia,26.11
1978,Mecca,Saudi Arabia,26.12
1979,Mecca,Saudi Arabia,26.55
1980,Mecca,Saudi Arabia,26.32
1981,Mecca,Saudi Arabia,26.19
1982,Mecca,Saudi Arabia,25.04
1983,Mecca,Saudi Arabia,25.40
1984,Mecca,Saudi Arabia,25.19
1985,Mecca,Saudi Arabia,25.36
1986,Mecca,Saudi Arabia,25.64
1987,Mecca,Saudi Arabia,26.35
1988,Mecca,Saudi Arabia,26.34
1989,Mecca,Saudi Arabia,25.47
1990,Mecca,Saudi Arabia,25.86
1991,Mecca,Saudi Arabia,25.94
1992,Mecca,Saudi Arabia,24.74
1993,Mecca,Saudi Arabia,25.90
1994,Mecca,Saudi Arabia,26.26
1995,Mecca,Saudi Arabia,26.33
1996,Mecca,Saudi Arabia,26.37
1997,Mecca,Saudi Arabia,25.88
1998,Mecca,Saudi Arabia,26.48
1999,Mecca,Saudi Arabia,26.75
2000,Mecca,Saudi Arabia,26.62
2001,Mecca,Saudi Arabia,26.60
2002,Mecca,Saudi Arabia,26.63
2003,Mecca,Saudi Arabia,26.87
2004,Mecca,Saudi Arabia,26.53
2005,Mecca,Saudi Arabia,26.47
2006,Mecca,Saudi Arabia,26.42
2007,Mecca,Saudi Arabia,26.58
2008,Mecca,Saudi Arabia,26.64
2009,Mecca,Saudi Arabia,26.90
2010,Mecca,Saudi Arabia,27.30
2011,Mecca,Saudi Arabia,26.57
2012,Mecca,Saudi Arabia,27.02
2013,Mecca,Saudi Arabia,27.57
